question,answer,correctFeedback,wrongFeedback,hint
d/dx x^2 at x=2,4,答對了！導數是 2x，代入 x=2 得 4,答錯了，再檢查導數公式,導數為 2x，代入即可
d/dx x^3 at x=2,12,答對了！導數是 3x^2，代入 x=2 得 12,答錯了，回頭算 3*(2^2),導數為 3x^2
d/dx sin x at x=0,1,答對了！cos(0)=1，導數為 cos x,答錯了，sin 的導數是 cos x,cos(0)=1
d/dx cos x at x=0,0,答對了！-sin(0)=0，導數為 -sin x,答錯了，cos 的導數是 -sin x,-sin(0)=0
∫_0^1 2x dx,1,答對了！積分為 x^2，代入 0..1 得 1,答錯了，驗算不定積分後代入上下限,不定積分是 x^2
∫_0^2 x dx,2,答對了！(1/2)x^2，代入 0..2 得 2,答錯了，回去算 (1/2)*2^2,公式 (1/2)x^2
d/dx e^x at x=0,1,答對了！e^x 的導數仍為 e^x，代入 0 得 1,答錯了，記得 e^0=1,導數與原函數相同
d/dx ln x at x=1,1,答對了！ln x 的導數為 1/x，代入 1 得 1,答錯了，檢查 1/x 在 x=1 的值,導數是 1/x
d/dx (3x^2) at x=1,6,答對了！導數為 6x，代入 1 得 6,答錯了，先把常數乘進導數,導數為 6x
∫_0^1 3 dx,3,答對了！常數積分為 3x，代入 0..1 得 3,答錯了，常數積分應乘以上下限差,積分為 3*(1-0)
